english_sentence,hindi_sentence
Try moving card piles around,पत्तों के ढेर को आसपास ले जाने की कोशिश करें
Same suit,एक जैसे पत्ते
Alternating colors,विविध रंग
Select a card from the reserve for first foundation pile,प्रथम आधार ढेर हेतु अतिरिक्त में से एक ताश का पत्ता चुनें
Move a card from the reserve onto the empty tableau slot,अतिरिक्त में से एक ताश के पत्ते को खाली तस्वीर खाँचा पर ले जाएँ
Stock left: ~ a,बचा मालः ~ a
Deal another card,एक और पत्ता बाँटें
Move a card or build of cards on to the empty slot,एक पत्ता या पत्तों के समूह खाली खाँचा पर ले जाएँ
Deal another hand,एक हाथ और बांटें
Remove the king of clubs.,चिड़ी का बादशाह हटाएँ. 
Remove the king of diamonds.,ईंट का बादशाह हटाएँ. 
Remove the king of hearts.,लाल पान का बादशाह हटाएँ. 
Remove the king of spades.,हुकुम का बादशाह हटाएँ. 
Move card from waste,बेकार में से पत्ते ले जाएँ
Move waste to stock,बेकार को भण्डार में ले जाएँ
Stock remaining: ~ a,बचा भंडारः ~ a
Deal a new card,नया कार्ड डील करें
Try moving cards down from the foundation,आधार से पत्तों को नीचे की ले जाने की कोशिश करें
Single card deals,एक पत्ते बांट
No redeals,कोई डील फिर नहीं
Unlimited redeals,असीमित पुनः सौदों
Base Card:,आधार पत्ताः
an empty foundation pile,एक खाली संस्थापन के ढेर
an empty tableau slot,एक खाली तस्वीर खाँचा
Aim to place the suits in the order which fits the current layout most naturally.,वर्तमान विन्यास अति प्राकृतिक रूप से ताश के रंग के योग्य हो इस हेतु ध्येय कीजिए. 
the foundation,न्यास
Autoplay,स्वचालित
Redeals left: ~ a,ताश बांटना बाकीः ~ a
Deal new cards from the deck,डेक में से नया पत्ता चलें
something,कुछ
an empty slot,एक खाली खाँचा
Place cards on to the Tableau to form poker hands,पोकर हाथ तैयार करने हेतु ताश के पत्तों को जमाएँ
Shuffle mode,फेंटें मोड
Deal the cards,पत्ते बाँटें
Reshuffle cards,पत्तों को फिर फेंटें
an empty foundation,एक खाली आधार
an empty tableau,एक खाली तस्वीर
Move waste on to a reserve slot,सुरक्षित खाँचा पर बेकार को ले जाएँ
Undo until there are enough cards to fill all tableau piles,सभी ढेर भरने लायक पत्ते होते तक पहले जैसा करें
Please fill in empty pile first.,कृपया खाली ढेर को पहले भरें. 
Place something on empty slot,खाली खाँचा पर कुछ रखें
Four Suits,चार सूइट
